text,label,clean_tweet
!!! @user as a woman you shouldn't complain about cleaning up your house. amp as a man you should always take the trash out...,0,woman not complain clean house man always take trash
!!!!! @user boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!,1,boy dat coldtyga dwn bad cuffin dat hoe 1st place
!!!!!!! @user dawg!!!! @user you ever fuck a bitch and she start to cry? you be confused as shit,1,dawg ever fuck bitch start cry confuse shit
!!!!!!!!! @user @user she look like a tranny,1,look like tranny
!!!!!!!!!!!!! @user the shit you hear about me might be true or it might be faker than the bitch who told it to ya 57361,1,shit hear might true might faker bitch tell ya
!!!!!!!!!!!!!!!!!! @user the shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! 128514 128514 128514,1,shit blow meclaim faithful somebody still fuck hoe
!!!!!! @user i can not just sit up and hate on another bitch .. i got too much shit going on!,1,not sit hate another bitch get much shit go
!!!! 8220 @user cause i'm tired of you big bitches coming for us skinny girls!! 8221,1,cause tire big bitch come u skinny girl
amp you might not get ya bitch back amp thats that,1,might not get ya bitch back thats
@user hobbies include fighting mariam bitch,1,hobby include fight mariam bitch
keeks is a bitch she curves everyone lol i walked into a conversation like this. smh,1,keeks bitch curve everyone lol walk conversation like smh
murda gang bitch its gang land,1,murda gang bitch gang land
so hoes that smoke are losers ? yea ... go on ig,1,hoe smoke loser yea go ig
bad bitches is the only thing that i like,1,bad bitch thing like
bitch get up off me,1,bitch get
bitch nigga miss me with it,1,bitch nigga miss
bitch plz whatever,1,bitch plz whatever
bitch who do you love,1,bitch love
bitches get cut off everyday b,1,bitch get cut everyday b
black bottle amp a bad bitch,1,black bottle bad bitch
broke bitch cant tell me nothing,1,break bitch cant tell nothing
cancel that bitch like nino,1,cancel bitch like nino
cant you see these hoes wont change,1,cant see hoe wont change
fuck no that bitch dont even suck dick 128514 128514 128514 the kermit videos bout to fuck ig up,1,fuck no bitch dont even suck dick kermit video bout fuck ig
got ya bitch tip toeing on my hardwood floors 128514,1,get ya bitch tip toe hardwood floor
her pussy lips like heaven doors 128524,1,pussy lip like heaven door
hoe what its hitting for,1,hoe hitting
i met that pussy on ocean dr . i gave that pussy a pill 128524,1,meet pussy ocean dr give pussy pill
i need a trippy bitch who fuck on hennessy,1,need trippy bitch fuck hennessy
i spend my money how i want bitch its my business,1,spend money want bitch business
i txt my old bitch my new bitch pussy wetter,1,txt old bitch new bitch pussy wetter
i'd say im back to the old me but my old bitches would get excited 128524,1,would say im back old old bitch would get excited
if you aint bout that murder game pussy nigga shut up,1,aint bout murder game pussy nigga shut
if you're toes ain't done you pussy stinks,1,toe not pussy stink
im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that,1,im bitter bitch wrap angry bird theres app
is that ya bitch,1,ya bitch
it aint nothing to cut a bitch off,1,aint nothing cut bitch
jus meet son now he ya mane ass bitches shots,1,jus meet son ya mane bitch shot
lames crying over hoes thats tears of a clown,1,lame cry hoe thats tear clown
like snoop said in 94 we dont love these hoes,1,like snoop say 94 dont love hoe
momma said no pussy cats inside my doghouse,0,momma say no pussy cat inside doghouse
most hated but the hoes favorite 2mw sevenone,1,hat hoe favorite 2mw sevenone
"nice girls bad, make me get naughty. bad yello hoe, real nice body. down south chick, like em real thick",1,nice girl bad make get naughty bad yello hoe real nice body south chick like em real thick
pimps up pimps up hoes down future voice,1,pimp pimp hoe future voice
post a picture of that pussy get 200 likes,1,post picture pussy get 200 like
pussy is a powerful drug 128517 happyhumpday,1,pussy powerful drug happyhumpday
quick piece of pussy call it a drive by,1,quick piece pussy call drive
running round here like some brand new pussy thats bout to get fucked,1,run round like brand new pussy thats bout get fucked
these bitches even worst they'll send them guys for you,1,bitch even worst send guy
these hoes like niggas that spend money not talk bout it,1,hoe like nigga spend money not talk bout
we dont trust these niggas all these bitches,1,dont trust nigga bitch
yall niggas b cuffing hoes cause yall aint never have bitches,1,yall nigga b cuffing hoe cause yall aint never bitch
you dodge a bullet 128517 8220 @user all da bitches i cut off pregnant or bound to be ....thank god 128591 8221,1,dodge bullet da bitch cut pregnant bind thank god
young pill chamberlain these bitches love my music,1,young pill chamberlain bitch love music
128514 128514 128514 128514 128514 128514 128514 128514 128514 128514 128514 @user teanna trump probably cleaner than most of these twitter hoes but.........,1,teanna trump probably clean twitter hoe
128514 128514 128514 128514 128514 128514 128514 128514 128514 128514 @user gay niggas couldn't wait to act like bitches tonight,1,gay nigga could not wait act like bitch tonight
